variable_name,meandecreasegini
digital_prodN_webinar_responses,0.90837688
prodD_2013_bookings_amount,0.903331297
flag_prodJ_customer,0.86582646
ftr_dummy_db_industry24,0.856553103
prodO_booking_pct,0.836529745
tot_prod1_downloads,0.831221246
tot_prod11_evals_page_views,0.812611056
flag_prodL_customer,0.793220684
flag_prodC_customer,0.785845674
tot_aol_se_page_views,0.729285362
flag_duns_vertical_government,0.720298059
tot_prod2_overview_page_views,0.71759322
vsan_license_2015_bookings_amount,0.688351164
prodB_2014_bookings_amount,0.685261962
num_prod21_orders,0.675728584
tot_prod5_resources_page_views,0.673845401
ftr_dummy_highest_prodA_edition2,0.663373905
prodL_2013_bookings_amount,0.658705671
prodQ_views,0.649133426
flag_prodO_customer,0.646233382
tot_prod2_blog_page_views,0.639139885
ftr_dummy_gu_emp_segment_desc3,0.610770429
prodT_license_booking_pct,0.608828742
flag_prodA_5_x_mdm,0.604638685
flag_prodI_customer,0.597464394
ftr_dummy_db_industry25,0.597148975
ela_flag,0.571415258
tot_prod16_downloads,0.558249314
tot_prod5_features_page_views,0.550838069
flag_prodN_customer,0.547107456
tot_prod13_webinar_page_views,0.541799105
digital_prodN_paid_search_responses,0.522212367
flag_prodU_customer,0.517425242
vsan_2014_bookings_amount,0.495983498
tot_prod3_webinar_page_views,0.474123764
flag_prodK_customer,0.458443156
tot_prod10_overview_page_views,0.458318997
ftr_dummy_idc_verticals4,0.433487237
ftr_dummy_highest_prodA_edition5,0.42983336
prodN_license_2015_bookings_amount,0.412567275
flag_prodK_prodW_svcs_customer,0.387218649
tot_prod4_blog_page_views,0.383573705
tot_prod9_features_page_views,0.365105078
vsan_license_2014_bookings_amount,0.357403588
flag_prodT_customer,0.335793035
tot_prod16_blog_page_views,0.283290394
ftr_dummy_db_industry23,0.280137105
flag_prodN_license_customer,0.270032108
flag_prodK_network_svcs_customer,0.267018132
ftr_dummy_idc_verticals1,0.265113126
ftr_dummy_db_industry30,0.260565039
prodN_2013_bookings_amount,0.250976997
ftr_dummy_db_industry6,0.248945056
num_func_area_clevel_contacts,0.230318151
ftr_dummy_db_industry9,0.211294319
